team_Rk,School,team_G,team_W,team_L,team_W-L%,team_SRS,team_SOS,team_,team_W,team_L,team_,team_W,team_L,team_,team_W,team_L,team_,team_Tm.,team_Opp.,team_,team_MP,team_FG,team_FGA,team_FG%,team_3P,team_3PA,team_3P%,team_FT,team_FTA,team_FT%,team_ORB,team_TRB,team_AST,team_STL,team_BLK,team_TOV,team_PF,opp_Rk,opp_G,opp_W,opp_L,opp_W-L%,opp_SRS,opp_SOS,opp_,opp_W,opp_L,opp_,opp_W,opp_L,opp_,opp_W,opp_L,opp_,opp_Tm.,opp_Opp.,opp_,opp_MP,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,adv_team_Rk,adv_team_G,adv_team_W,adv_team_L,adv_team_W-L%,adv_team_SRS,adv_team_SOS,adv_team_,adv_team_W,adv_team_L,adv_team_,adv_team_W,adv_team_L,adv_team_,adv_team_W,adv_team_L,adv_team_,adv_team_Tm.,adv_team_Opp.,adv_team_,adv_team_Pace,adv_team_ORtg,adv_team_FTr,adv_team_3PAr,adv_team_TS%,adv_team_TRB%,adv_team_AST%,adv_team_STL%,adv_team_BLK%,adv_team_eFG%,adv_team_TOV%,adv_team_ORB%,adv_team_FT/FGA,adv_opp_Rk,adv_opp_G,adv_opp_W,adv_opp_L,adv_opp_W-L%,adv_opp_SRS,adv_opp_SOS,adv_opp_,adv_opp_W,adv_opp_L,adv_opp_,adv_opp_W,adv_opp_L,adv_opp_,adv_opp_W,adv_opp_L,adv_opp_,adv_opp_Tm.,adv_opp_Opp.,adv_opp_,adv_opp_Pace,adv_opp_ORtg,adv_opp_FTr,adv_opp_3PAr,adv_opp_TS%,adv_opp_TRB%,adv_opp_AST%,adv_opp_STL%,adv_opp_BLK%,adv_opp_eFG%,adv_opp_TOV%,adv_opp_ORB%,adv_opp_FT/FGA
21,Bellarmine,31,5,26,.161,-14.75,-4.37,,2,16,,5,10,,0,16,,2252,2484,,1250,814,1743,.467,281,776,.362,343,444,.773,205,909,439,197,53,371,522,21,31,5,26,.161,-14.75,-4.37,,2,16,,5,10,,0,16,,2252,2484,,1250,857,1782,.481,319,827,.386,451,597,.755,282,1045,469,212,69,320,461,21,31,5,26,.161,-14.75,-4.37,,2,16,,5,10,,0,16,,2252,2484,,67.6,106.6,.255,.445,.576,46.5,53.9,9.3,5.5,.548,16.0,21.2,.197,21,31,5,26,.161,-14.75,-4.37,,2,16,,5,10,,0,16,,2252,2484,,67.6,117.6,.335,.464,.601,53.5,54.7,10.0,7.1,.570,13.4,28.6,.253
22,Belmont,33,22,11,.667,2.04,-0.02,,13,7,,11,5,,9,4,,2618,2529,,1325,945,2033,.465,347,905,.383,381,530,.719,317,1142,568,229,104,371,514,22,33,22,11,.667,2.04,-0.02,,13,7,,11,5,,9,4,,2618,2529,,1325,917,1997,.459,300,865,.347,395,544,.726,337,1185,505,231,112,409,517,22,33,22,11,.667,2.04,-0.02,,13,7,,11,5,,9,4,,2618,2529,,70.4,112.2,.261,.445,.573,49.1,60.1,9.8,9.2,.550,14.0,27.2,.187,22,33,22,11,.667,2.04,-0.02,,13,7,,11,5,,9,4,,2618,2529,,70.4,108.4,.272,.433,.561,50.9,55.1,9.9,9.9,.534,15.4,29.0,.198
23,Bethune-Cookman,33,17,16,.515,-10.01,-6.50,,13,5,,8,2,,7,12,,2265,2381,,1320,800,1870,.428,202,634,.319,463,671,.690,334,1175,423,220,121,448,531,23,33,17,16,.515,-10.01,-6.50,,13,5,,8,2,,7,12,,2265,2381,,1320,846,1968,.430,227,726,.313,462,637,.725,361,1185,450,251,124,384,582,23,33,17,16,.515,-10.01,-6.50,,13,5,,8,2,,7,12,,2265,2381,,69.6,98.6,.359,.339,.517,49.8,52.9,9.6,9.7,.482,17.0,28.8,.248,23,33,17,16,.515,-10.01,-6.50,,13,5,,8,2,,7,12,,2265,2381,,69.6,103.6,.324,.369,.524,50.2,53.2,10.9,10.0,.488,14.5,30.0,.235
24,Binghamton,32,15,17,.469,-13.23,-8.85,,7,9,,9,4,,5,12,,2233,2287,,1295,800,1735,.461,227,633,.359,404,583,.693,284,1149,415,153,96,431,525,24,32,15,17,.469,-13.23,-8.85,,7,9,,9,4,,5,12,,2233,2287,,1295,809,1896,.427,231,747,.309,438,613,.715,308,1053,364,254,124,289,516,24,32,15,17,.469,-13.23,-8.85,,7,9,,9,4,,5,12,,2233,2287,,66.8,103.2,.336,.365,.555,52.2,51.9,7.1,8.4,.527,17.6,27.6,.233,24,32,15,17,.469,-13.23,-8.85,,7,9,,9,4,,5,12,,2233,2287,,66.8,105.7,.323,.394,.523,47.8,45.0,11.7,11.3,.488,11.7,26.3,.231
25,Boise State,34,24,10,.706,13.88,5.85,,14,6,,13,2,,6,5,,2546,2246,,1365,862,1878,.459,248,799,.310,572,736,.777,361,1235,487,182,90,379,546,25,34,24,10,.706,13.88,5.85,,14,6,,13,2,,6,5,,2546,2246,,1365,811,1875,.433,232,682,.340,392,568,.690,255,972,360,175,106,363,628,25,34,24,10,.706,13.88,5.85,,14,6,,13,2,,6,5,,2546,2246,,65.9,113.2,.392,.425,.571,56.0,56.5,8.1,7.5,.525,14.5,33.5,.305,25,34,24,10,.706,13.88,5.85,,14,6,,13,2,,6,5,,2546,2246,,65.9,99.9,.303,.364,.524,44.0,44.4,7.8,9.8,.494,14.5,22.6,.209
26,Boston College,31,12,19,.387,0.10,5.49,,4,16,,9,8,,0,10,,2182,2349,,1275,783,1811,.432,206,597,.345,410,570,.719,318,1065,355,162,121,368,571,26,31,12,19,.387,0.10,5.49,,4,16,,9,8,,0,10,,2182,2349,,1275,821,1802,.456,228,647,.352,479,668,.717,320,1105,397,200,97,330,518,26,31,12,19,.387,0.10,5.49,,4,16,,9,8,,0,10,,2182,2349,,66.8,102.4,.315,.330,.524,49.1,45.3,7.6,10.5,.489,15.0,28.8,.226,26,31,12,19,.387,0.10,5.49,,4,16,,9,8,,0,10,,2182,2349,,66.8,110.3,.371,.359,.554,50.9,48.4,9.4,8.0,.519,13.5,30.0,.266
27,Boston University,32,16,16,.500,-10.77,-8.15,,10,8,,12,4,,3,12,,2148,2191,,1300,768,1752,.438,250,740,.338,362,546,.663,349,1124,381,194,83,423,515,27,32,16,16,.500,-10.77,-8.15,,10,8,,12,4,,3,12,,2148,2191,,1300,766,1706,.449,252,695,.363,407,544,.748,234,949,408,235,94,350,516,27,32,16,16,.500,-10.77,-8.15,,10,8,,12,4,,3,12,,2148,2191,,64.1,103.1,.312,.422,.534,54.2,49.6,9.3,8.2,.510,17.4,32.8,.207,27,32,16,16,.500,-10.77,-8.15,,10,8,,12,4,,3,12,,2148,2191,,64.1,105.2,.319,.407,.558,45.8,53.3,11.3,9.3,.523,15.1,23.2,.239
28,Bowling Green State,32,14,18,.438,-9.38,-5.95,,8,10,,8,8,,5,8,,2352,2366,,1280,815,1857,.439,255,745,.342,467,626,.746,297,1100,359,232,102,392,556,28,32,14,18,.438,-9.38,-5.95,,8,10,,8,8,,5,8,,2352,2366,,1280,837,1874,.447,259,806,.321,433,555,.780,299,1121,460,205,135,400,534,28,32,14,18,.438,-9.38,-5.95,,8,10,,8,8,,5,8,,2352,2366,,70.1,104.8,.337,.401,.546,49.5,44.0,10.3,9.6,.508,15.4,26.5,.251,28,32,14,18,.438,-9.38,-5.95,,8,10,,8,8,,5,8,,2352,2366,,70.1,105.4,.296,.430,.553,50.5,55.0,9.1,12.1,.516,15.8,27.1,.231
29,Bradley,34,26,8,.765,6.24,-0.04,,15,5,,13,3,,8,3,,2612,2339,,1380,918,1897,.484,326,813,.401,450,596,.755,283,1171,493,226,128,392,569,29,34,26,8,.765,6.24,-0.04,,15,5,,13,3,,8,3,,2612,2339,,1380,789,1944,.406,266,829,.321,495,682,.726,348,1121,408,236,79,378,582,29,34,26,8,.765,6.24,-0.04,,15,5,,13,3,,8,3,,2612,2339,,66.5,113.9,.314,.429,.599,51.1,53.7,9.9,11.5,.570,15.2,26.8,.237,29,34,26,8,.765,6.24,-0.04,,15,5,,13,3,,8,3,,2612,2339,,66.5,102.0,.351,.426,.516,48.9,51.7,10.3,7.3,.474,14.3,28.2,.255
30,Brigham Young,33,24,9,.727,19.80,9.71,,14,6,,15,2,,6,5,,2672,2339,,1345,950,1970,.482,353,952,.371,419,594,.705,366,1237,569,236,104,400,532,30,33,24,9,.727,19.80,9.71,,14,6,,15,2,,6,5,,2672,2339,,1345,822,1917,.429,296,851,.348,399,565,.706,307,1040,429,217,87,392,546,30,33,24,9,.727,19.80,9.71,,14,6,,15,2,,6,5,,2672,2339,,67.8,117.3,.302,.483,.593,54.3,59.9,10.4,9.8,.572,15.1,33.3,.213,30,33,24,9,.727,19.80,9.71,,14,6,,15,2,,6,5,,2672,2339,,67.8,102.7,.295,.444,.535,45.7,52.2,9.5,8.5,.506,15.2,26.1,.208
